id,Week,Day,Match,Game,Blue,Red,Winner,blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5
113,8,1,47,3,Workpoint Fighting Fish,Bazaar Gaming,Bazaar Gaming,D'Arcy,Elsu,Ryoma,Quillen,Riktor,TeeMee,Maloch,Tulen,Violet,Florentino,Hayate,Roxie,Wonder Woman,Veres,Sephera,Omen,Marja,Lindis
114,8,1,48,1,Toyota Diamond Cobra,RRQ Black Forest,RRQ Black Forest,Riktor,Sephera,Omen,Kriknak,Veres,Quillen,Ryoma,Annette,Liliana,Florentino,Elsu,Hayate,TeeMee,D'Arcy,Baldum,Tel'Annas,Xeniel,Nakroth
115,8,1,48,2,Toyota Diamond Cobra,RRQ Black Forest,Toyota Diamond Cobra,Sephera,Omen,Tel'Annas,Quillen,Riktor,Veres,The Flash,TeeMee,Ryoma,Florentino,Elsu,Nakroth,Kriknak,D'Arcy,Baldum,Xeniel,Hayate,Lu Bu
116,8,1,48,3,RRQ Black Forest,Toyota Diamond Cobra,Toyota Diamond Cobra,Riktor,D'Arcy,Omen,The Flash,Elsu,Baldum,Ryoma,Zill,Superman,Florentino,Maloch,Xeniel,Aleister,Veres,Sephera,Hayate,TeeMee,Nakroth
117,8,1,49,1,Evos.Debut,Mega Ignition,Evos.Debut,Riktor,D'Arcy,Tel'Annas,Hayate,Veres,Tulen,Quillen,Xeniel,Mina,Florentino,Elsu,TeeMee,Annette,Sephera,Maloch,Kriknak,Ryoma,Omen
118,8,1,49,2,Mega Ignition,Evos.Debut,Evos.Debut,Veres,Elsu,Kriknak,Nakroth,Sephera,Baldum,Quillen,Lu Bu,Hayate,Florentino,Riktor,Omen,Xeniel,Tel'Annas,Maloch,Superman,Ryoma,Tulen
119,8,2,50,1,AHQ Esport Club,Mega Ignition,AHQ Esport Club,Sephera,Florentino,Ryoma,The Joker,Riktor,Maloch,Tel'Annas,Annette,Wonder Woman,D'Arcy,Elsu,Nakroth,Lindis,Veres,Quillen,Baldum,The Flash,Omen
120,8,2,50,2,Mega Ignition,AHQ Esport Club,AHQ Esport Club,D'Arcy,Elsu,Omen,Tulen,Sephera,Riktor,Maloch,Nakroth,Hayate,Florentino,Veres,Kriknak,Lindis,Tel'Annas,Quillen,Annette,Aleister,Arum
121,8,2,51,1,Bazaar Gaming,Toyota Diamond Cobra,Bazaar Gaming,Elsu,TeeMee,Lauriel,Quillen,Florentino,Baldum,Valhein,Nakroth,Marja,Ryoma,D'Arcy,Maloch,Murad,Riktor,Veres,Sephera,Zill,Aleister
122,8,2,51,2,Toyota Diamond Cobra,Bazaar Gaming,Toyota Diamond Cobra,D'Arcy,Veres,Omen,Xeniel,Riktor,TeeMee,Sephera,Kriknak,The Joker,Florentino,Elsu,Valhein,Murad,Ryoma,Hayate,Baldum,Nakroth,Marja
123,8,2,51,3,Toyota Diamond Cobra,Bazaar Gaming,Toyota Diamond Cobra,D'Arcy,Veres,Kriknak,Tel'Annas,Riktor,TeeMee,Nakroth,Raz,Cresht,Florentino,Elsu,Maloch,Tulen,Sephera,Ryoma,Omen,Wonder Woman,Xeniel
124,8,3,52,1,AHQ Esport Club,RRQ Black Forest,AHQ Esport Club,D'Arcy,Veres,Moren,Hayate,Tel'Annas,Quillen,Annette,Baldum,Aleister,Florentino,Elsu,Maloch,Riktor,Ryoma,TeeMee,Omen,The Joker,Kriknak
125,8,3,53,2,RRQ Black Forest,AHQ Esport Club,RRQ Black Forest,Veres,Riktor,Elsu,Arum,Tel'Annas,TeeMee,Omen,Ilumia,Nakroth,Florentino,D'Arcy,Kriknak,Ryoma,Quillen,Annette,Maloch,Aleister,Hayate
126,8,3,53,3,AHQ Esport Club,RRQ Black Forest,AHQ Esport Club,D'Arcy,TeeMee,Kriknak,Hayate,Elsu,Quillen,Annette,Xeniel,Arum,Florentino,Tel'Annas,Aleister,Maloch,Riktor,Veres,Ryoma,The Flash,Moren
127,8,3,54,1,Evos.Debut,Buriram United,Buriram United,Riktor,Elsu,Baldum,Mina,Sephera,Superman,Quillen,Wisp,Tulen,Florentino,Tel'Annas,Ryoma,Maloch,D'Arcy,Veres,Hayate,Annette,Xeniel
128,8,3,54,2,Evos.Debut,Buriram United,Buriram United,Quillen,Kriknak,Baldum,Sephera,Riktor,Maloch,Hayate,Nakroth,The Flash,Florentino,Tel'Annas,Murad,Ryoma,D'Arcy,Veres,Elsu,Annette,Roxie
129,8,4,55,1,Toyota Diamond Cobra,Bazaar Gaming,Bazaar Gaming,D'Arcy,Veres,Murad,Tel'Annas,Riktor,TeeMee,The Flash,Valhein,Zanis,Florentino,Elsu,Hayate,Cresht,Ryoma,Sephera,Omen,Arum,Nakroth
